brand,model,motor,year,mileage,fuel,type,price
RENAULT,KADJAR,1.6 DCI 130 EDITION ONE,2017,63666,Diesel,Manuelle,63666
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,101915,Diesel,Manuelle,101915
RENAULT,TALISMAN,1.6 DCI 130 INTENS,2016,95832,Diesel,Manuelle,95832
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,101260,Diesel,Manuelle,101260
RENAULT,TALISMAN,1.6 DCI 160 INTENS,2017,104470,Diesel,Automatique,104470
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,79427,Diesel,Automatique,79427
RENAULT,SCENIC III phase 3,1.5 DCI 95 LIMITED,2017,112237,Diesel,Manuelle,112237
RENAULT,CLIO IV,1.5 DCI 90 INITIALE PARIS,2017,104135,Diesel,Manuelle,104135
RENAULT,MEGANE III COUPE phase 3,1.6 DCI 130 BOSE EDITION,2017,77220,Diesel,Manuelle,77220
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2015,107276,Diesel,Automatique,107276
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,81689,Diesel,Manuelle,81689
RENAULT,KANGOO II phase 2,1.5 DCI 90 LIFE,2016,32831,Diesel,Manuelle,32831
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,89862,Diesel,Manuelle,89862
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,101811,Diesel,Manuelle,101811
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 R-LINK,2017,106313,Diesel,Manuelle,106313
RENAULT,SCENIC IV,1.5 DCI 110 BUSINESS,2017,92910,Diesel,Manuelle,92910
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,81948,Diesel,Manuelle,81948
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,90829,Diesel,Automatique,90829
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,104636,Diesel,Manuelle,104636
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2016,84255,Diesel,Manuelle,84255
RENAULT,KADJAR,1.5 DCI 110 INTENS,2016,96474,Diesel,Manuelle,96474
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,81641,Diesel,Manuelle,81641
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,92746,Diesel,Manuelle,92746
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,118767,Diesel,Manuelle,118767
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,83970,Diesel,Manuelle,83970
RENAULT,GRAND KANGOO II phase 2,1.5 DCI 110 LIMITED,2017,96771,Diesel,Manuelle,96771
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,106194,Diesel,Manuelle,106194
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,71429,Diesel,Automatique,71429
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,108745,Diesel,Automatique,108745
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,89779,Diesel,Manuelle,89779
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 SERIE SPECIALE EXTRA RLINK,2017,120917,Diesel,Manuelle,120917
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,91594,Diesel,Manuelle,91594
RENAULT,MEGANE III ESTATE phase 3,1.6 DCI 130 BOSE EDITION,2017,39374,Diesel,Manuelle,39374
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,62400,Diesel,Automatique,62400
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2017,79143,Diesel,Manuelle,79143
RENAULT,GRAND SCENIC IV,1.5 DCI 110 BUSINESS,2017,36488,Diesel,Manuelle,36488
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,92403,Diesel,Manuelle,92403
RENAULT,KADJAR,1.6 DCI 130 INTENS,2016,62277,Diesel,Manuelle,62277
RENAULT,KADJAR,1.5 DCI 110 BUSINESS,2017,93300,Diesel,Manuelle,93300
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,75331,Diesel,Manuelle,75331
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2017,80520,Diesel,Manuelle,80520
RENAULT,KANGOO II phase 2,1.5 DCI 110 INTENS,2017,117956,Diesel,Manuelle,117956
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,101002,Diesel,Manuelle,101002
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,86110,Diesel,Manuelle,86110
RENAULT,SCENIC III phase 3,1.5 DCI 110 BUSINESS,2016,110805,Diesel,Manuelle,110805
RENAULT,SCENIC IV,1.5 DCI 110 INTENS,2017,99055,Diesel,Automatique,99055
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,83588,Diesel,Manuelle,83588
RENAULT,MEGANE IV,1.6 DCI 130 INTENS,2017,90596,Diesel,Manuelle,90596
RENAULT,MEGANE IV,1.5 DCI 90 BUSINESS,2017,78836,Diesel,Manuelle,78836
