brand,model,motor,year,mileage,fuel,type,price
RENAULT,KADJAR,1.6 DCI 130 EDITION ONE,2017,63666,Diesel,Manuelle,17720
RENAULT,CLIO IV,1.5 DCI 90 INITIALE PARIS,2017,104135,Diesel,Manuelle,12850
RENAULT,TALISMAN,1.6 DCI 160 INTENS,2017,104470,Diesel,Automatique,20190
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,101260,Diesel,Manuelle,14620
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,79427,Diesel,Automatique,16450
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,101915,Diesel,Manuelle,14140
RENAULT,TALISMAN,1.6 DCI 130 INTENS,2016,95832,Diesel,Manuelle,19230
RENAULT,SCENIC III phase 3,1.5 DCI 95 LIMITED,2017,112237,Diesel,Manuelle,14240
RENAULT,KANGOO II phase 2,1.5 DCI 90 LIFE,2016,32831,Diesel,Manuelle,16230
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,62400,Diesel,Automatique,16180
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,71429,Diesel,Automatique,16930
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,90829,Diesel,Automatique,14160
RENAULT,MEGANE III ESTATE phase 3,1.6 DCI 130 BOSE EDITION,2017,39374,Diesel,Manuelle,17420
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,101811,Diesel,Manuelle,13150
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,81689,Diesel,Manuelle,19220
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2015,107276,Diesel,Automatique,12750
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 SERIE SPECIALE EXTRA RLINK,2017,120917,Diesel,Manuelle,14570
RENAULT,GRAND KANGOO II phase 2,1.5 DCI 110 LIMITED,2017,96771,Diesel,Manuelle,18590
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 R-LINK,2017,106313,Diesel,Manuelle,15800
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,118767,Diesel,Manuelle,17060
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,92746,Diesel,Manuelle,18910
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,89862,Diesel,Manuelle,12840
RENAULT,KADJAR,1.5 DCI 110 INTENS,2016,96474,Diesel,Manuelle,16360
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,108745,Diesel,Automatique,17660
RENAULT,SCENIC IV,1.5 DCI 110 BUSINESS,2017,92910,Diesel,Manuelle,15900
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,81641,Diesel,Manuelle,17250
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2017,83970,Diesel,Manuelle,15010
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,81948,Diesel,Manuelle,14940
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,89779,Diesel,Manuelle,11650
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,104636,Diesel,Manuelle,11920
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,91594,Diesel,Manuelle,14800
RENAULT,MEGANE III COUPE phase 3,1.6 DCI 130 BOSE EDITION,2017,77220,Diesel,Manuelle,16350
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,106194,Diesel,Manuelle,16390
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2016,84255,Diesel,Manuelle,14060
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2017,79143,Diesel,Manuelle,15200
RENAULT,GRAND SCENIC IV,1.5 DCI 110 BUSINESS,2017,36488,Diesel,Manuelle,20110
RENAULT,SCENIC IV,1.5 DCI 110 INTENS,2017,99055,Diesel,Automatique,17950
RENAULT,KADJAR,1.5 DCI 110 BUSINESS,2017,93300,Diesel,Manuelle,18340
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2017,80520,Diesel,Manuelle,16520
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,86110,Diesel,Manuelle,16880
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2015,75331,Diesel,Manuelle,14470
RENAULT,KANGOO II phase 2,1.5 DCI 110 INTENS,2017,117956,Diesel,Manuelle,18730
RENAULT,CAPTUR,1.5 DCI 90 HELLY HANSEN,2016,81344,Diesel,Automatique,15820
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,101002,Diesel,Manuelle,16080
RENAULT,KADJAR,1.6 DCI 130 INTENS,2016,62277,Diesel,Manuelle,18130
RENAULT,SCENIC III phase 3,1.5 DCI 110 BUSINESS,2016,110805,Diesel,Manuelle,14010
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,92403,Diesel,Manuelle,16500
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2016,50287,Diesel,Manuelle,13190
RENAULT,CLIO IV ESTATE,1.5 DCI 90 INTENS,2015,89600,Diesel,Manuelle,13420
RENAULT,KADJAR,1.5 DCI 110 BUSINESS,2016,92685,Diesel,Manuelle,16590
RENAULT,MEGANE IV,1.6 DCI 130 ZEN,2017,120000,Diesel,Manuelle,19180
RENAULT,GRAND KANGOO II phase 2,1.5 DCI 110 ZEN,2016,86060,Diesel,Manuelle,16050
RENAULT,MEGANE IV,1.5 DCI 90 BUSINESS,2017,78836,Diesel,Manuelle,14020
RENAULT,CLIO IV phase 2,1.5 DCI 110 INTENS,2017,92119,Diesel,Manuelle,12760
